marital,age,sex,race,hompop,happy,health,satjob,fincome
1,76,1,1,2,2,4,0,28725
5,23,2,1,2,2,2,0,51705
3,63,2,1,1,1,2,0,51705
3,45,2,1,1,2,2,2,63195
1,26,2,1,10,1,1,2,42130
1,36,1,1,4,3,0,2,16277.5
1,64,1,2,3,2,3,2,76600
1,46,1,1,6,1,0,2,51705
1,69,2,1,2,1,0,0,178712.4649
1,43,2,3,5,1,1,1,76600
4,57,2,3,1,3,4,0,8617.5
1,34,1,1,4,1,0,1,18192.5
1,30,1,1,4,1,0,4,10532.5
5,28,1,1,1,1,1,1,91920
5,23,1,1,1,2,2,0,178712.4649
1,29,1,1,2,2,0,2,42130
1,54,2,1,2,1,1,1,107240
1,57,1,1,2,2,1,1,178712.4649
1,67,2,1,2,2,0,0,51705
1,27,2,1,2,1,0,1,24895
1,43,2,1,4,2,2,1,76600
1,42,1,1,2,2,0,1,178712.4649
5,35,2,1,1,2,0,1,18192.5
1,30,2,1,2,1,0,1,76600
3,55,1,1,1,1,2,3,34470
2,53,2,1,1,2,3,1,21065
5,18,1,2,3,1,0,0,63195
5,40,1,1,1,3,2,2,8617.5
5,25,1,1,3,2,0,0,63195
1,54,2,1,3,1,2,2,178712.4649
1,52,1,1,2,2,2,1,0
1,25,2,1,4,2,3,0,8617.5
1,28,1,1,4,1,1,1,51705
3,74,1,1,1,3,0,0,21065
